ID,sex,condition,trials,phase,trial,type,correctChoice,choice1,choice2,choice3,choice4,response,mod,oldNoun,oldMod1,oldMod2,choiceType1,choiceType2,choiceType3,choiceType4,choice,binaryCorrect
31,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial0_inner-outer_1_this eight handbag_handbag this eight_eight this handbag_handbag eight this_radio5_eight this_handbag_true_false_true_Outer-Inner-N_N-Outer-Inner_Inner-Outer-N_N-Inner-Outer,test,testTrial0,inner-outer,1,this eight handbag,handbag this eight,eight this handbag,handbag eight this,radio5,handbag,true,false,true,Outer-Inner-N,N-Outer-Inner,Inner-Outer-N,N-Inner-Outer,1,1
32,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial1_outer_2_duck this_this duck_----_----_radio6_this_duck_false_true_NA_NA_NA_NA_NA,test,testTrial1,outer,2,duck this,this duck,----,----,radio6,duck,false,true,NA,NA,NA,NA,NA,2,1
33,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial2_inner-outer_3_banana these one_one these banana_these one banana_banana one these_radio7_one these_banana_true_false_true_N-Outer-Inner_Inner-Outer-N_Outer-Inner-N_N-Inner-Outer,test,testTrial2,inner-outer,3,banana these one,one these banana,these one banana,banana one these,radio7,banana,true,false,true,N-Outer-Inner,Inner-Outer-N,Outer-Inner-N,N-Inner-Outer,3,1
34,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial3_inner-outer_3_cherry four that_cherry that four_that four cherry_four that cherry_radio7_four that_cherry_true_true_true_N-Inner-Outer_N-Outer-Inner_Outer-Inner-N_Inner-Outer-N,test,testTrial3,inner-outer,3,cherry four that,cherry that four,that four cherry,four that cherry,radio7,cherry,true,true,true,N-Inner-Outer,N-Outer-Inner,Outer-Inner-N,Inner-Outer-N,3,1
35,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial4_outer_2_ribbon this_this ribbon_----_----_radio6_this_ribbon_true_true_NA_NA_NA_NA_NA,test,testTrial4,outer,2,ribbon this,this ribbon,----,----,radio6,ribbon,true,true,NA,NA,NA,NA,NA,2,1
36,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial5_inner_1_nine pillow_pillow nine_----_----_radio5_nine_pillow_true_true_NA_NA_NA_NA_NA,test,testTrial5,inner,1,nine pillow,pillow nine,----,----,radio5,pillow,true,true,NA,NA,NA,NA,NA,1,1
37,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial6_inner-outer_3_shirt ten this_ten this shirt_this ten shirt_shirt this ten_radio7_ten this_shirt_true_false_true_N-Inner-Outer_Inner-Outer-N_Outer-Inner-N_N-Outer-Inner,test,testTrial6,inner-outer,3,shirt ten this,ten this shirt,this ten shirt,shirt this ten,radio7,shirt,true,false,true,N-Inner-Outer,Inner-Outer-N,Outer-Inner-N,N-Outer-Inner,3,1
38,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial7_inner-outer_1_these four lamp_lamp four these_four these lamp_lamp these four_radio5_four these_lamp_true_true_true_Outer-Inner-N_N-Inner-Outer_Inner-Outer-N_N-Outer-Inner,test,testTrial7,inner-outer,1,these four lamp,lamp four these,four these lamp,lamp these four,radio5,lamp,true,true,true,Outer-Inner-N,N-Inner-Outer,Inner-Outer-N,N-Outer-Inner,1,1
39,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial8_inner-outer_3_nine those spatula_spatula those nine_those nine spatula_spatula nine those_radio7_nine those_spatula_true_true_true_Inner-Outer-N_N-Outer-Inner_Outer-Inner-N_N-Inner-Outer,test,testTrial8,inner-outer,3,nine those spatula,spatula those nine,those nine spatula,spatula nine those,radio7,spatula,true,true,true,Inner-Outer-N,N-Outer-Inner,Outer-Inner-N,N-Inner-Outer,3,1
40,id_Fri Apr 21 2017 10:39:28 GMT+0700 (SE Asia Standard Time),male,condition_NumDem,testTrial9_outer_2_horse that_that horse_----_----_radio6_that_horse_false_true_NA_NA_NA_NA_NA,test,testTrial9,outer,2,horse that,that horse,----,----,radio6,horse,false,true,NA,NA,NA,NA,NA,2,1
