eng,tha,trans,category
banana,กล้วย,klûaj,noun
box,กล่อง,klɔ̀ŋ,noun
chair,เก้าอี้,kâwʔîi,noun
couch,โซฟา,soofaa,noun
dart,ลูกดอก,lûukdɔ̀ɔk,noun
handbag,กระเป๋าถือ,kràpǎwthɯ̌ɯ,noun
key,กุญแจ,kuncɛɛ,noun
leaf,ใบไม้,bajmáj,noun
pear,ลูกแพร์,lûukphrɛɛ,noun
pineapple,สับปะรด,sàppàrót,noun
ribbon,โบ,boo,noun
shirt,เสื้อ,sɯ́a,noun
shovel,พลั่ว,plûa,noun
suitcase,กระเป๋าเดินทาง,kràpǎwdəənthaaŋ,noun
vase,แจกัน,cɛɛkan,noun
bowl,ชาม,chaam,noun
car,รถ,rót,noun
cherry,เชอร์รี่,chəərîi,noun
cow,วัว,wua,noun
duck,เป็ด,pɛ̀t,noun
hat,หมวก,mùak,noun
horse,ม้า,máa,noun
lamp,ตะเกียง,tàkiaŋ,noun
pig,หมู,mǔu,noun
pillow,หมอน,mɔ̌ɔn,noun
pitcher,เหยือก,jɯ̀ak,noun
scarf,ผ้าพันคอ,phâaphankhɔɔ,noun
shoe,รองเท้า,rɔɔŋtháaw,noun
spatula,ตะหลิว,tàlǐw,noun
tray,ถาด,thàat,noun
purple,ม่วง,mûaŋ,adj
broken,แตก,tàek,adj
red,แดง,dæŋ,adj
wooden,ไม้,máaj,adj
green,เขียว,khǐaw,adj
orange,ส้ม,sóm,adj
round,กลม,klom,adj
plastic,พลาสติก,phlássatìk,adj
stone,หิน,hǐn,adj
blue,น้ำเงิน,náamŋəən,adj
two,สอง,sɔ̌ɔŋ,num
three,สาม,sǎam,num
six,หก,hòk,num
seven,เจ็ด,jɛ̀t,num
nine,เก้า,kâaw,num
one,หนึ่ง,nɯ̀ŋ,num
four,สี่,sìi,num
five,ห้า,hâa,num
eight,แปด,pæ̀t,num
ten,สิบ,sìp,num
this,นี้,níi,dem
those,พวกนั้น,pûak.nán,dem
that,นั้น,nán,dem
these,พวกนี้,pûak.níi,dem
-----,-----,,
