ID,sex,condition,trials,phase,trial,type,correctChoice,choice1,choice2,choice3,choice4,response,mod,oldNoun,oldMod1,oldMod2,choiceType1,choiceType2,choiceType3,choiceType4,choice,binaryCorrect
31,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial0_inner-outer_2_pillow that purple_that purple pillow_purple that pillow_pillow purple that_radio6_purple that_pillow_true_true_true_N-Outer-Inner_Outer-Inner-N_Inner-Outer-N_N-Inner-Outer,test,testTrial0,inner-outer,2,pillow that purple,that purple pillow,purple that pillow,pillow purple that,radio6,pillow,true,true,true,N-Outer-Inner,Outer-Inner-N,Inner-Outer-N,N-Inner-Outer,2,1
32,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial1_inner-outer_3_cherry orange this_orange this cherry_this orange cherry_cherry this orange_radio7_orange this_cherry_true_false_true_N-Inner-Outer_Inner-Outer-N_Outer-Inner-N_N-Outer-Inner,test,testTrial1,inner-outer,3,cherry orange this,orange this cherry,this orange cherry,cherry this orange,radio7,cherry,true,false,true,N-Inner-Outer,Inner-Outer-N,Outer-Inner-N,N-Outer-Inner,3,1
33,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial2_inner_2_suitcase soft_soft suitcase_----_----_radio6_soft_suitcase_false_false_NA_NA_NA_NA_NA,test,testTrial2,inner,2,suitcase soft,soft suitcase,----,----,radio6,suitcase,false,false,NA,NA,NA,NA,NA,2,1
34,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial3_inner-outer_4_tie that soft_tie soft that_soft that tie_that soft tie_radio8_soft that_tie_false_false_true_N-Outer-Inner_N-Inner-Outer_Inner-Outer-N_Outer-Inner-N,test,testTrial3,inner-outer,4,tie that soft,tie soft that,soft that tie,that soft tie,radio8,tie,false,false,true,N-Outer-Inner,N-Inner-Outer,Inner-Outer-N,Outer-Inner-N,4,1
35,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial4_inner_2_chair round_round chair_----_----_radio6_round_chair_false_false_NA_NA_NA_NA_NA,test,testTrial4,inner,2,chair round,round chair,----,----,radio6,chair,false,false,NA,NA,NA,NA,NA,2,1
36,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial5_outer_1_that pig_pig that_----_----_radio5_that_pig_true_true_NA_NA_NA_NA_NA,test,testTrial5,outer,1,that pig,pig that,----,----,radio5,pig,true,true,NA,NA,NA,NA,NA,1,1
37,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial6_inner-outer_2_dirty that shirt_that dirty shirt_shirt dirty that_shirt that dirty_radio6_dirty that_shirt_true_true_true_Inner-Outer-N_Outer-Inner-N_N-Inner-Outer_N-Outer-Inner,test,testTrial6,inner-outer,2,dirty that shirt,that dirty shirt,shirt dirty that,shirt that dirty,radio6,shirt,true,true,true,Inner-Outer-N,Outer-Inner-N,N-Inner-Outer,N-Outer-Inner,2,1
38,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial7_inner_1_purple tie_tie purple_----_----_radio6_purple_tie_false_true_NA_NA_NA_NA_NA,test,testTrial7,inner,1,purple tie,tie purple,----,----,radio6,tie,false,true,NA,NA,NA,NA,NA,2,0
39,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial8_inner-outer_3_spotted this banana_banana this spotted_this spotted banana_banana spotted this_radio7_spotted this_banana_true_true_true_Inner-Outer-N_N-Outer-Inner_Outer-Inner-N_N-Inner-Outer,test,testTrial8,inner-outer,3,spotted this banana,banana this spotted,this spotted banana,banana spotted this,radio7,banana,true,true,true,Inner-Outer-N,N-Outer-Inner,Outer-Inner-N,N-Inner-Outer,3,1
40,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial9_inner-outer_4_shoe dirty this_dirty this shoe_shoe this dirty_this dirty shoe_radio8_dirty this_shoe_true_true_true_N-Inner-Outer_Inner-Outer-N_N-Outer-Inner_Outer-Inner-N,test,testTrial9,inner-outer,4,shoe dirty this,dirty this shoe,shoe this dirty,this dirty shoe,radio8,shoe,true,true,true,N-Inner-Outer,Inner-Outer-N,N-Outer-Inner,Outer-Inner-N,4,1
41,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial10_inner-outer_2_shovel this green_this green shovel_shovel green this_green this shovel_radio6_green this_shovel_true_false_true_N-Outer-Inner_Outer-Inner-N_N-Inner-Outer_Inner-Outer-N,test,testTrial10,inner-outer,2,shovel this green,this green shovel,shovel green this,green this shovel,radio6,shovel,true,false,true,N-Outer-Inner,Outer-Inner-N,N-Inner-Outer,Inner-Outer-N,2,1
42,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial11_inner-outer_4_purple that arrow_arrow that purple_arrow purple that_that purple arrow_radio8_purple that_arrow_true_true_true_Inner-Outer-N_N-Outer-Inner_N-Inner-Outer_Outer-Inner-N,test,testTrial11,inner-outer,4,purple that arrow,arrow that purple,arrow purple that,that purple arrow,radio8,arrow,true,true,true,Inner-Outer-N,N-Outer-Inner,N-Inner-Outer,Outer-Inner-N,4,1
43,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial12_inner_2_cow green_green cow_----_----_radio6_green_cow_false_false_NA_NA_NA_NA_NA,test,testTrial12,inner,2,cow green,green cow,----,----,radio6,cow,false,false,NA,NA,NA,NA,NA,2,1
44,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial13_inner-outer_1_that orange suitcase_suitcase orange that_suitcase that orange_orange that suitcase_radio5_orange that_suitcase_false_false_true_Outer-Inner-N_N-Inner-Outer_N-Outer-Inner_Inner-Outer-N,test,testTrial13,inner-outer,1,that orange suitcase,suitcase orange that,suitcase that orange,orange that suitcase,radio5,suitcase,false,false,true,Outer-Inner-N,N-Inner-Outer,N-Outer-Inner,Inner-Outer-N,1,1
45,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial14_inner-outer_4_chair that orange_orange that chair_chair orange that_that orange chair_radio8_orange that_chair_false_false_true_N-Outer-Inner_Inner-Outer-N_N-Inner-Outer_Outer-Inner-N,test,testTrial14,inner-outer,4,chair that orange,orange that chair,chair orange that,that orange chair,radio8,chair,false,false,true,N-Outer-Inner,Inner-Outer-N,N-Inner-Outer,Outer-Inner-N,4,1
46,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial15_inner-outer_2_green this pitcher_this green pitcher_pitcher this green_pitcher green this_radio6_green this_pitcher_true_false_true_Inner-Outer-N_Outer-Inner-N_N-Outer-Inner_N-Inner-Outer,test,testTrial15,inner-outer,2,green this pitcher,this green pitcher,pitcher this green,pitcher green this,radio6,pitcher,true,false,true,Inner-Outer-N,Outer-Inner-N,N-Outer-Inner,N-Inner-Outer,2,1
47,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial16_inner-outer_2_plate that dirty_that dirty plate_plate dirty that_dirty that plate_radio6_dirty that_plate_false_true_true_N-Outer-Inner_Outer-Inner-N_N-Inner-Outer_Inner-Outer-N,test,testTrial16,inner-outer,2,plate that dirty,that dirty plate,plate dirty that,dirty that plate,radio6,plate,false,true,true,N-Outer-Inner,Outer-Inner-N,N-Inner-Outer,Inner-Outer-N,2,1
48,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial17_outer_1_that pineapple_pineapple that_----_----_radio5_that_pineapple_true_true_NA_NA_NA_NA_NA,test,testTrial17,outer,1,that pineapple,pineapple that,----,----,radio5,pineapple,true,true,NA,NA,NA,NA,NA,1,1
49,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial18_inner-outer_2_handbag striped that_that striped handbag_striped that handbag_handbag that striped_radio6_striped that_handbag_true_false_true_N-Inner-Outer_Outer-Inner-N_Inner-Outer-N_N-Outer-Inner,test,testTrial18,inner-outer,2,handbag striped that,that striped handbag,striped that handbag,handbag that striped,radio6,handbag,true,false,true,N-Inner-Outer,Outer-Inner-N,Inner-Outer-N,N-Outer-Inner,2,1
50,id_Fri Jul 07 2017 08:46:31 GMT+0700 (SE Asia Standard Time) 9699,female,condition_AdjDem,testTrial19_inner-outer_3_duck dirty this_duck this dirty_this dirty duck_dirty this duck_radio7_dirty this_duck_true_true_true_N-Inner-Outer_N-Outer-Inner_Outer-Inner-N_Inner-Outer-N,test,testTrial19,inner-outer,3,duck dirty this,duck this dirty,this dirty duck,dirty this duck,radio7,duck,true,true,true,N-Inner-Outer,N-Outer-Inner,Outer-Inner-N,Inner-Outer-N,3,1
