ID,sex,condition,trials,phase,trial,type,correctChoice,choice1,choice2,choice3,choice4,response,mod,oldNoun,oldMod1,oldMod2,choiceType1,choiceType2,choiceType3,choiceType4,choice,binaryCorrect
31,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial0_inner_1_hat furry_furry hat_----_----_radio5_furry_hat_true_false_NA_NA_NA_NA_NA,test,testTrial0,inner,1,hat furry,furry hat,----,----,radio5,hat,true,false,NA,NA,NA,NA,NA,1,1
32,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial1_inner-outer_4_blue this dart_dart this blue_this blue dart_dart blue this_radio8_blue this_dart_true_true_true_Inner-Outer-N_N-Outer-Inner_Outer-Inner-N_N-Inner-Outer,test,testTrial1,inner-outer,4,blue this dart,dart this blue,this blue dart,dart blue this,radio8,dart,true,true,true,Inner-Outer-N,N-Outer-Inner,Outer-Inner-N,N-Inner-Outer,4,1
33,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial2_outer_2_this box_box this_----_----_radio6_this_box_false_true_NA_NA_NA_NA_NA,test,testTrial2,outer,2,this box,box this,----,----,radio6,box,false,true,NA,NA,NA,NA,NA,2,1
34,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial3_inner-outer_3_pillow these orange_orange these pillow_pillow orange these_these orange pillow_radio7_orange these_pillow_true_true_true_N-Outer-Inner_Inner-Outer-N_N-Inner-Outer_Outer-Inner-N,test,testTrial3,inner-outer,3,pillow these orange,orange these pillow,pillow orange these,these orange pillow,radio7,pillow,true,true,true,N-Outer-Inner,Inner-Outer-N,N-Inner-Outer,Outer-Inner-N,3,1
35,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial4_inner-outer_3_green those spatula_those green spatula_spatula green those_spatula those green_radio7_green those_spatula_true_false_true_Inner-Outer-N_Outer-Inner-N_N-Inner-Outer_N-Outer-Inner,test,testTrial4,inner-outer,3,green those spatula,those green spatula,spatula green those,spatula those green,radio7,spatula,true,false,true,Inner-Outer-N,Outer-Inner-N,N-Inner-Outer,N-Outer-Inner,3,1
36,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial5_outer_1_pear those_those pear_----_----_radio5_those_pear_false_true_NA_NA_NA_NA_NA,test,testTrial5,outer,1,pear those,those pear,----,----,radio5,pear,false,true,NA,NA,NA,NA,NA,1,1
37,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial6_outer_1_leaf that_that leaf_----_----_radio5_that_leaf_true_true_NA_NA_NA_NA_NA,test,testTrial6,outer,1,leaf that,that leaf,----,----,radio5,leaf,true,true,NA,NA,NA,NA,NA,1,1
38,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial7_inner-outer_4_hat those red_those red hat_red those hat_hat red those_radio8_red those_hat_true_false_true_N-Outer-Inner_Outer-Inner-N_Inner-Outer-N_N-Inner-Outer,test,testTrial7,inner-outer,4,hat those red,those red hat,red those hat,hat red those,radio8,hat,true,false,true,N-Outer-Inner,Outer-Inner-N,Inner-Outer-N,N-Inner-Outer,4,1
39,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial8_inner-outer_1_handbag green this_green this handbag_handbag this green_this green handbag_radio5_green this_handbag_true_false_true_N-Inner-Outer_Inner-Outer-N_N-Outer-Inner_Outer-Inner-N,test,testTrial8,inner-outer,1,handbag green this,green this handbag,handbag this green,this green handbag,radio5,handbag,true,false,true,N-Inner-Outer,Inner-Outer-N,N-Outer-Inner,Outer-Inner-N,1,1
40,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial9_inner-outer_4_couch this red_this red couch_red this couch_couch red this_radio8_red this_couch_true_false_true_N-Outer-Inner_Outer-Inner-N_Inner-Outer-N_N-Inner-Outer,test,testTrial9,inner-outer,4,couch this red,this red couch,red this couch,couch red this,radio8,couch,true,false,true,N-Outer-Inner,Outer-Inner-N,Inner-Outer-N,N-Inner-Outer,4,1
41,id_Fri Jun 02 2017 09:25:54 GMT+0200 (CEST),male,condition_AdjDem,testTrial10_inner-outer_4_this purple suitcase_suitcase this purple_purple this suitcase_suitcase purple this_radio8_purple this_suitcase_false_true_true_Outer-Inner-N_N-Outer-Inner_Inner-Outer-N_N-Inner-Outer,test,testTrial10,inner-outer,4,this purple suitcase,suitcase this purple,purple this suitcase,suitcase purple this,radio8,suitcase,false,true,true,Outer-Inner-N,N-Outer-Inner,Inner-Outer-N,N-Inner-Outer,4,1
